family_id,family_label,prompt_id,prompt_label,prompt_slot,seed,seed_slot,denoise,local_filename,pc1,pc2
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,710378140300593,2,0.55,descriptive__descriptive-05__dn055__slot02__seed710378140300593.flac,-0.07608933001756668,0.4858752191066742
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,710378140300593,2,0.4,descriptive__descriptive-05__dn040__slot02__seed710378140300593.flac,-0.5970849394798279,0.593086302280426
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,554159517989115,3,1.0,descriptive__descriptive-05__dn100__slot03__seed554159517989115.flac,-0.30242428183555603,0.6223877668380737
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,554159517989115,3,0.7,descriptive__descriptive-05__dn070__slot03__seed554159517989115.flac,-0.27516716718673706,0.611183226108551
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,554159517989115,3,0.55,descriptive__descriptive-05__dn055__slot03__seed554159517989115.flac,-0.40846869349479675,0.5329274535179138
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,554159517989115,3,0.4,descriptive__descriptive-05__dn040__slot03__seed554159517989115.flac,-0.13469131290912628,0.482721209526062
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,499548161013021,4,1.0,descriptive__descriptive-05__dn100__slot04__seed499548161013021.flac,-0.41473719477653503,0.6592739820480347
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,499548161013021,4,0.7,descriptive__descriptive-05__dn070__slot04__seed499548161013021.flac,-0.325756311416626,0.6205132007598877
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,499548161013021,4,0.55,descriptive__descriptive-05__dn055__slot04__seed499548161013021.flac,-0.23377478122711182,0.5957070589065552
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,499548161013021,4,0.4,descriptive__descriptive-05__dn040__slot04__seed499548161013021.flac,-0.39531204104423523,0.5906355381011963
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,799177406954422,5,1.0,descriptive__descriptive-05__dn100__slot05__seed799177406954422.flac,-0.17023590207099915,0.6017278432846069
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,799177406954422,5,0.7,descriptive__descriptive-05__dn070__slot05__seed799177406954422.flac,-0.27805477380752563,0.6290030479431152
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,799177406954422,5,0.55,descriptive__descriptive-05__dn055__slot05__seed799177406954422.flac,-0.3436329960823059,0.6139926910400391
